Abandon,Leave permanently
Caustic,Sarcastic
Cautious,Careful to avoid danger or mistakes
Caveat,provision
Censure,strong disapproval
Cerebrate,To think
Certitude,A feeling of certainty
Chagrin,Annoyance or shame at having failed
Charismatic,Possessing spiritual grace
Chequered,Marked by periods of varied fortune
Chicanery,Trickery in legal matters
Chide,Scold or rebuke
Chinos,Casual trousers made from a smooth cotton fabric
Chivalrous,Of or as of the ideal knight
Choleric,Easily angered
Choreograph,Compose the sequence of steps and movements for a dance
Chronic,Lasting a long time
Chronicle,A record of historical events
Chronological,Following the order in which things occurred
Chuffed,Informal-pleased
Chum,a close friend
Chump,a foolish person
Chunk,A large amount a thick solid piece
Churlish,Rude or bad tempered
Ciao,exclamation   Hello or goodbye
Cinch,Informal-a very easy task, a certainty
Cipher,A code, an unimportant person or thing
Circuitous,(of a route) Long and indirect, roundabout
Circumlocution,The use of many words where fewer would do, the roundabout way of saying something
Circumscribe, limit
Circumspect, sensible
Circumstantial,(Of evidence)suggesting but not proving something
Circumvent, to get the better of or prevent from happening by craft or ingenuity
Clam up,Informal-refuse to talk or respond, Be quiet
Clamour,a strong protest or demand
Clamp down,Clampdown(noun)
Clandestine,Done secretly
Clanger,Informal-a mistake or blunder
Claptrap,empty talk intended to get applause
Clause,law or contract
Claustrophobia,Extreme fear of being in an enclosed space
Clerical,of the clergy
Cliche,a trite, stereotyped expression
Clientele,Clients collectively
Clinch,an embrace
Clinical,Efficient and unemotional
Clique,A small exclusive group of people
Clout,Influence
Coalesce,form into a mass or whole
Coalition,Temporary alliance esp. political parties
Cocksure,Arrogantly confident
Coerce,To persuade by using force or threats
Cogent,Logical and convincing
Cogitate,To think deeply about to ponder
Cognizance,knowledge or awareness
Coherent,articulate
Collateral,parallel or corresponding
Commiserate,Express sympathy or pity
Compatible,consistent
Complacency,uncritically self satisfied
Complement,a thing that completes or improves something
Complicity,Involvement in wrongdoing
Comprehensive,Including all or nearly all
Concede,give up an advantage or right, admit defeat in a contest
Concise,giving information clearly and to the point
Concordant,In agreement
Concur,happen at the same time
Condescend,do something that one believes to be beneath
Condone,Accept or forgive an offence or wrong
Conformist,A person who behaves in n expected or conventional way
Confound,Surprise
Congenial,kindred
Conjecture,Make a guess
Connive,Secretly allow
Connoisseur,An expert judge in matters of taste, one who has expert knowledge and keen discrimination especially in fine arts
Conscientious,Governed by one's conscience
Construe,To interpret
Contemptible,Deserving contempt
Contrite,Remorseful
Convivial,Friendly and lively
Coterie,A small exclusive group
Covert,Hidden
Covet,To want ardently
Credulous,Too ready to believe things
Cumbersome,Hard to handle
Culpable,Deserving blame
Cupidity,Greed for money
Curt,Rude,brief
Cynic,A person who believes that peoples motives are always selfish
Cynosure,A centre of attention
Dabble,Take part in an activity in a casual way
Daft,Silly
Dapper,Neat in appearance and dressing
Dastardly,Wicked and cruel
Daunt,Intimidate or discourage
Debacle,Crushing defeat
Debase,Lower in quality or value
Dearth,Scarcity or lack
Debrief,Question in detail about a competed mission
Decelerate,slowdown
Decisive,Able to make a decision quickly
Decrepit,Worn out or weakened
Defer,Put off to a later time
Deferential,Very respectful
Definitive,Settling something finally with authority
Deft,Quick and skillful
Defunct,No longer existing or functioning, inactive
Delineate,Describe or indicate precisely, to draw sketch
Delusion,A false belief or impression, the act of deluding
Demeanor,Outward behavior or bearing
Demur,Raise objections
Demure,shy
Denigrate,criticize unfairly
Denizen,a frequent visitor of a particular place
Denounce,publicly declare to be wrong or evil
Deplete,to use up (resources)
Deprecate,belittle
Depreciate,Reduce or lessen in value over time
Dereliction,forsaking of
Deride,to make fun of
Derogatory,Critical or disrespectful
Descry,to discover
Despicable,Deserving scorn
Despondent,Dejection
Desuetude,Disuse, extinction
Desultory,Lacking purpose or enthusiasm, going from one subject to another in a half hearted way, aimless
Detriment,Harm or damage
Deviant,Different from what is considered normal, deviating from normal
Devious,Cunning and underhand, not direct, roundabout, not honest
Devolve,Transfer power to a lower level, to devolve of responsibility
Dexterity,Skill in performing tasks, skill in using one's hands, body or mind
Diabolical,Of or like the devil, informal-very bad
Diatribe,a violent verbal attack, a bitter criticism in speech or writing
Dichotomy,Division into two parts, contrast between two things
Dilettante,One who is not an expert, a person who takes part in an activity for enjoyment, a dabbler
Diligent,Careful and conscientious, hardworking
Discern,See or be aware of, to perceive or recognize clearly
Disconcert,Unsettle
Disconsolate,Very unhappy, inconsolable
Discord,Lack of agreement or harmony harsh and unpleasant noise, quarrel, disagreement
Discretion,The quality of being discreet, freedom to decide
Discursive,Wandering from subject to subject, (topic to topic)
Disenchanted,Disillusion, having lost one's good opinion of something
Disgorge,To eject or cause to pour out
Disingenuous,Not sincere
Disparage,Speak critically of, to discredit
Disparate,Very different in kind,distinct
Disquisition,A long or complex discussion of a subject a long or elaborate spoken or written report
Disseminate,Spread widely,to scatter, to spread ideas.
Dissent,Disagree especially with a widely or officially held view
Dissimulate,Lacking harmony, discord
Distraught,Very worried and upset,distracted
Divest,Strip off,to deprive (of rank, power etc)
Divulge,Reveal information
Docile,Easy to control, easy to discipline, submissive
Dogged,Persistent
Dogmatic,Firmly putting forward one's opinion as true, insisting that one's belief must be accepted
Doldrums,Low spirits, a state of inactivity or depression
Doleful,Sorrowful, sad, mournful
Domineer,To rule in a harsh or arrogant way, overbearing and arrogant
Dormant,Temporarily inactive, slow down
Double-entendre,A word or phrase with two meaning one of which is usually rude
Dowdy,not smart or fashionable in dress
Draconian,Harsh or strict, cruel, severe
Drivel,Stupid talk, silly, nonsense
Dubious,Hesitating or doubting,doubtful,not reliable or of certain quality
Dullard,A stupid person or unimaginative person
Duress,Force,threat or violence used to force a person to do something
Dysfunctional,Not operating properly, unable to deal with normal social relationship
Earnest,Very serious, sincere intent
Eavesdrop,Secretly listening to a conversation
Ebb,Gradually lessen, at a low ebb- in a poor or unhappy state of mind
Ebullient,Cheerful and full of energy, enthusiastic, vivacious
Eccentric,Unconventional and strange
Eclectic,Deriving ideas or style from a wide range of sources
Edgy,Tense,irritable
Efface,Make oneself appear inconspicuous, to wipe out
Effrontery,Insolence or impertinence
Effusive,Expressing pleasure or approval in an unrestrained way
Egocentric,Self centered, selfish
Elan,Energy and flair, spirited self assurance
Elated,Very happy and excited
Ellipsis,The omission of words in speech or writing, a set of dots indicating this
Eloquence,Fluent or persuasive speaking or writing
Elucidate,To make something clear; explain,
Elude,Cleverly escape from or avoid, fail to be understood by, be unattainable by
Emanate,Issue from a source, to come forth
Embattled,Beset by problems or difficulties
Embittered,Bitter or resentful
Eminence,The quality of being distinguished and respected, an important person
Emolument,Salary or fee
Empirical,Based on observation or experience rather than theory
Emulate,Try to equal or better than, surpass
Encapsulate,Enclose in or as if in a capsule, summarize
Endeavour,Try hard to achieve something, an attempt to achieve something, hard work
Endorse,Declare approval of sign a cheque on the back
Enervate,Cause to feel drained of energy
Enigma,A riddle, a mysterious person or thing
Ennui,Boredom, a feeling of weariness
Enrapture,Delight greatly
Ensemble,A group of performers a group of items viewed as a whole
Enumerate,mention item one by one
Enunciate,Pronounce clearly, state fluently
Envisage,See as a possibility, imagine
Epitome,A perfect example
Equivocal,Ambiguous, uncertain, doubtful
Ergonomics,The study of people's efficiency in their working environment
Errant,Doing something wrong
Erratic,Uneven, irregular
Erstwhile,former
Erudite,scholarly
Espouse,Support or adopt a cause or way of life
Estimable,Worthy of great respect
Estranged,No longer close to or friendly with someone
Et-al,abbreviation And others
Ethical,Of moral principles, morally correct
Etiquette,The code of polite behavior in a society
Euphemism,A less direct word used instead of an offensive or unpleasant one
Euphoria,Excited happiness, a feeling of well being
Evasive,Seeking to evade or avoid something
Evince,Show or indicate
Exaggerate,Make something seem greater than in reality
Exasperate,Greatly irritate
Excerpt,A short extract from a film, book or a piece of music
Exemplary,Representing the best of its kind, serving as a warning, serving as a model or example
Exhort,Strongly urge to do something, to urge earnestly
Exigency,A situation calling for immediate action, a pressing need or demand
Exonerate,Declare free from blame, to prove guiltless
Exorbitant,Going beyond what is reasonable or just, unreasonably high,
Expedite,Help or hasten the progress of
Expend,Spend or use up of resources
Expletive,A swear word, a rude word expressing anger
Extol,Praise enthusiastically, laud
Extrinsic,Coming from outside
Exuberant,Lively and cheerful
Excision,Cut out, pruning
Excoriate,To criticize severely, to denounce harshly
Esoteric,Intended for or understood by only a few people with specialized knowledge, hard to understand
Eschew,Deliberately avoid doing
Fabricate,Invent untrue facts, construct, to make up (a story)
Facet,One side of something with many sides, an aspect
Facetious,Joking especially at an inappropriate time, sarcastic, treating serious issues with inappropriate humor
Facsimile,An exact copy of a document, a fax
Factitious,Not genuine
Fait accompli,A thing that has been done and cannot now be altered; something already done or in effect, making opposition or argument useless
Fallacy,A mistaken belief, unsound reasoning, misleading
Fastidious,Attention to detail, very concerned about cleanliness
Fatuous,Silly and pointless, stupid
Faux pas,An embarrassing social blunder, French origin-false step;
Fawn,Try to gain favor by using flattery, to act slavishly submissive
Faze,Informal-unsettle
Feasible,Possible, able to be done
Feat,An act requiring great courage, skill or strength
Feeble,Weak, unconvincing
Feign,Pretend
Ferocious,Very fierce or violent
Fervent,Very passionate
Fiasco,A ridiculous or humiliating failure, total disaster
Fib,A trivial lie
Fickle,Changeable in one's loyalties, unstable
Figment,A thing that exists only in the imagination
Fillip,A stimulus or boost
Finesse,Elegant or delicate skill, tact, the ability to handle delicate situations diplomatically
Finicky,Fussy, detailed and fiddly
Fitful,Occurring irregularly
Fixation,An obsession
Flabbergasted,Informal-very surprised
Flamboyant,Very confident and lively, garish
Flair,Natural ability or talent, stylishness
Flaunt,Display ostentatiously
Flaw,Mark or spot that spoils something, a weakness, a mistake
Flummox,Bewilder, confuse, baffle, amaze, mystery
Flexi-time,A system of allowing flexible working hours
Flinch,Make a quick nervous movement from fear or pain
Forfeit,Lose property or a right as a penalty for wrongdoing, , something lost as a penalty for crime, fault or neglect
Forte,A thing for which someone has a particular talent, that which one does very well
Forum,A meeting or opportunity for an exchange of views
Frantic,Wildly agitated, hurried and confused
Fraught,Filled with, causing or feeling anxiety
Frazzle,Informal-an exhausted state
Fracas,A noisy disturbance or quarrel
Frenetic,Fast, energetic and disorganized
Frivolous,Of little value, trivial, silly, not having any serious purpose or value, carefree and not serious
Fruition,The fulfillment of a project or plan
Fulminate,To explode, express strong protest, to issue or pronounce with vehement denunciation
Fulsome,Excessively flattering, of large size or quantity, disgusting especially because excessive
Fumble,Use the hands clumsily, deal with clumsily, an act of fumbling
Furor,An outbreak of public anger or excitement, a widespread commotion or uproar
Furtive,Secretively trying to avoid being noticed
Gabble,Talk quickly and indistinctly, to talk or utter rapidly or incoherently
Gaiety,Light hearted and cheerful mood or behavior
Gaffe,An embarrassing blunder
Gainsay,Deny or contradict,
Galore,In abundance, aplenty
Galvanize,To stimulate shock or excite into action
Gambit,An action or remark intended to gain an advantage
Gamut,The whole range or scope, the entire range or extent
Garble,Confuse or distort a message
Garish,Gaudy, unpleasantly bright and showy
Gargantuan,Enormous, giant in size
Garner,Gather or collect, to gather up and store
Garrulous,Extremely talkative, talking too much especially about unimportant things
Gauche,Socially awkward, lacking social grace
Gawk,To stare stupidly
Gawky,Awkward, ungainly, clumsy
Gazebo,A summer house with a wide view, an open structure with an enjoyable view
Generic,Of a whole class, kind or group, having no brand name
Genesis,The origin of something
Genteel,Polite, well bred, refined
Genre,A style of art, literature
Gesticulate,Gesture dramatically in place of or to emphasize speech, to make lively gestures
Gibber,To speak rapidly and incoherently, speak fast and unintelligently
Gibe,variant of Jibe; to taunt; deride.
Gimmick,A trick or device intended to attract attention
Glean,Collect from various sources, to collect facts gradually
Glib,Articulate but insincere and shallow
Glitch,Informal- a sudden problem or fault, a malfunction or error
Gnaw,Bite at persistently, cause persistent anxiety or pain
Goad,Provoke to action, (noun)-a stimulus to action
Gospel,Something absolutely true
Graffiti,Writings or drawings on a surface in a public place
Gratis,Free of charge
Grandiose,Impressive, showy, ambitious in scale
Gravitate,Be drawn towards,
Gregarious,Fond of the company of others
Grid,Network of crossed lines forming a series of squares
Grievous,Very severe or serious, causing grief
Grimace,Make a distorted face, a twisted facial expression showing disgust, pain or amusement, make a grimace
Grisly,Causing horror or revulsion, terrifying
Groundwork,Preliminary or basic work
Grounding,Basic training or instruction
Grotesque,Comically or repulsively ugly or distorted, distorted in appearance, shape etc
Grovel,Act humbly to obtain forgiveness or favor, to lie or crawl to please another
Grueling,Very tiring, exhausting
Grumpy,Bad tempered, peevish, sulky
Gullible,Easily deceived, easily duped
Gumption,Informal-resourcefulness, initiative and courage
Gusto,Zest, enjoyment, vigor
Gush,Express approval in an unrestrained way
Hackneyed,Unoriginal and dull, made trite by overuse
Haggard,Looking exhausted and unwell, having a wild, wasted or worn look
Halcyon,Happy and peaceful, tranquil, idyllic
Hallucinate,See something which is not actually present, perception of sight, sounds etc which are not present
Hapless,Unlucky, unfortunate
Harangue,Criticize aggressively, a long blustering speech
Harbinger,A sign or herald of something, a forerunner
Harmonious,The quality of forming a pleasing combination, agreement; peace, having parts arranged in an orderly manner
Harrowing,Upsetting, very distressing
Hauteur,Disdainful pride
Heady,Intoxicating, having an exciting effect
Hearsay,Information received which may be unreliable, rumour, gossip
Heckle,Interrupt a public speaker with comments or abuse, to harass a speaker with questions or taunts
Heinous,Very wicked, outrageously evil
Herculean,Requiring or having great strength or effort, calling for great strength, size and courage
Heterogeneous,Varied, dissimilar, differing in structure, quality etc
Heyday,he period of a person's greatest success, energy etc
Hiatus,A pause or gap in a sequence
Hinder,Delay or obstruct
Hobnob,Socialize with important people, to be on close terms (with)
Hogwash,Useless or insincere talk, writing etc.
Hoi polloi,The ordinary people, the common people, hoi=the polloi=people
Homonym,A word with the same spelling and pronunciation as another but with a different meaning, origin.
Hoodwink,Deceive or trick
Horrendous,Very unpleasant or horrifying, horrible
Hortatory,Exhorting, advising, serving to encourage or urge to good deeds
Hostile,Unfriendly, opposed
Hubris,Excessive pride or self confidence, arrogance caused by pride
Huddle,Crowd together, a close group or mass
Hullabaloo,Informal-an uproar, clamour, hubbub
Humane,Showing concern and kindness, tender
Humbug,False or misleading talk or behavior, trick
Humility,The quality of being humble
Humdrum,Dull or ordinary, monotonous
Hyperbole,Statements that are deliberately exaggerated for effect, exaggerated for effect and not be taken seriously
Hypocritical,Too critical
Hypocrisy,Behavior in which a person pretends to have higher standards than is the case
Hangdog,Shamefaced
Haughty,Arrogant and contemptuous of others
Heed,Pay attention to, pay heed-pay careful attention
Hilarious,Very funny
Hilt,To the hilt-completely, to the limit
Hinder,Delay or obstruct
Hindsight,Understanding of a situation or event after it has happened
Hocus-pocus,Meaningless talk used to deceive, nonsense words or phrases used
Hound,Harass, get after, pursue
Hurl,Throw with great force
Hype,Informal-excessive or exaggerated publicity, publicize in an excessive or exaggerated way
Hypothesis,A proposed explanation based on limited evidence, used as a basis for further investigation
Hysteria,Extreme or uncontrollable emotion or excitement
Idealism,The belief that ideals can be achieved; behavior or thought based on a conception of things as one thinks they should be.
Idiosyncrasy,Any personal peculiarity, mannerism etc., a person's particular way of behaving or thinking.
Idiomatic,Using expressions natural to a native speaker
Ignoble,Dishonorable, not noble in character or quality, mean
Ignominy,Public disgrace
Illegible,Not clear enough to be read, hard or impossible to read because it is badly written or printed
Imbecile,Informal-a stupid person, a person with abnormally low intelligence, a fool
Immaculate,Completely clean or tidy, free from flaws or mistakes
Imbroglio,A confused or complicated situation
Imbue,Fill with a feeling or quality, to permeate with ideas feelings etc.
Immanent,Present throughout, inherent, within
Immune,Resistant to, not affected, exempt, exempt from or protected against something
Immure,To shut oneself in a place alone, confine, imprison
Impasse,A deadlock, a situation
Impeccable,Faultless, flawless
Impediment,A hindrance, a defect in a person's speech, anything that hinders
Imperil,To put in danger, endanger, pose a threat
Imperious,Arrogant, dominating, expecting unquestioning obedience
Impertinent,Not showing proper respect
Impervious,Impermeable, unable to be affected by, not affected by
Impetuous,Acting or done suddenly or quickly with little thought, impulsive,
Impetus,A driving or moving force or motive
Impinge,Have an effect or impact; to strike, hit etc (on or upon)
Implacable,Unwilling o be reconciled, unstoppable, inflexible
Importunate,Very persistent, persistent in asking or demanding, insistent; refusing to be denied
Impromptu,Done without being planned or rehearsed, without preparation
Impropriety,Being improper, not confirming to rules
Improvise,To compose and perform without preparation, make from whatever is available
Impudent,Not showing proper respect, shamelessly bold
Inadvertent,Unintentional, due to oversight, not attentive or observant; heedless
Inane,Lacking sense, silly
Incapacitate,Prevent from functioning
Incognito,Disguised under an assumed name, with one's true identity concealed
Incoherent,Hard to understand, not logically connected, disjointed or not well organized
Incongruous,Out of place, lacking harmony or agreement of parts etc
Indefatigable,Never tiring, untiring
Indubitable,Impossible to doubt, certain, that cannot be doubted, unquestionable
Inept,Lacking skill, unsuitable, unfit
Infringe,Intrude on a right or privilege
Ingenious,Clever, brilliant, bright, gifted
Inimical,Harmful, hostile, unfriendly, unfavorable, adverse
Inkling,A hint, a slight suspicion
Innocuous,Harmless
Innuendo,A remark indirectly referring to something
Inordinate,Unusually large, excessive
Interpolate,Insert, interject, to make a remark that interrupts a speech, conversation,
Invidious,Likely to cause resentment, offensive, calculated to create ill will
Irate,Very angry
Irksome,Annoying, tiresome, often tedious
Iterate,To utter, to do or to say repeatedly
Jabber,To talk quickly and incoherently but unintelligibly
Jackass,Stupid person, a male ass
Jaded,Tired and bored, worn out, worthless, exhausted, especially through overwork
Jamboree,A lavish or noisy party
Jargon,Words used by a particular group and hard for others to understand
Jaunty,Lively and self confident
Jeer,Make rude mocking remarks at
Jeopardy,Great danger or risk
Jest,Joke, verb-speak in a joking way
Jibe,Insulting remark
Jiffy,Informal-a moment
Jinx,A person or thing that brings bad luck
Jitters,Informal-extreme nervousness, an uneasy state
Jocular,Humorous, meant as a joke, given to joking
Jostle,To vie for an advantage or position, Push roughly, To make one's way by pushing or elbowing
Jubilant,Happy and triumphant
Judicious,Having or done with good judgment
Jumble,An untidy collection
Juncture,A particular point in time, a join
Junk,Informal-useless or worthless
Junket,An extravagant trip or party
Jurisdiction,The official power to make legal decisions, the extent of this
Jurisprudence,The theory of law
Justifiable,Able to be shown to be right or reasonable
Jut,Protrude, project, poke out
Juvenile,Of young people, childish, immature
Juxtapose,Place close together
Judgmental,Excessively critical of others
Juggle,Do several things at the same time
Jumpy,Informal-anxious and uneasy
Kaleidoscope,The bustling market streets are a kaleidoscope of color.
Kaput,Informal-broken
Kindle,Arouse an emotion
Kindred,Similar in kind
Kink,A flaw
Kiosk,A booth from which newspapers
Kleptomania,A recurring urge to steal
Knave,A dishonest man
Knotty,Full of knots
Keystone,The central part of a policy or system
Keynote,A central theme
Kickback,Percentage given to a person who has enabled one to make money
Killjoy,A person who spoils the enjoyment of others
Kitsch,Pretentious
Knell,The sound of a bell rung slowly
Kudos,Praise and honor
Kowtow,Be excessively meek and obedient
Kip,sleep
Kitty,A fund of money for use by a number of people
Kith-and-kin,One's family and relations
Laborious,Requiring or showing much effort
Labyrinth,A complicated network of passages
Lacerate,Tear the flesh or skin, It can be used to refer to someone's feeling being hurt or wounded
Lackadaisical,Lacking enthusiasm and thoroughness
Lackluster,Lacking energy or inspiration, dull (not shining)
Laconic,Using few words
Lacuna,A gap or a missing portion
Laden,Loaded
Lag,Fall behind, a period of time between two events
Lambast,Criticize harshly, censure severely or angrily
Lampoon,Publicly mock or ridicule
Languid,Lacking energy or vigor
Languish,Become weak or feeble, be forced to remain in an unpleasant place
Lapel,A flap folded back on each side of a coat
Lassitude,Weariness or lack of energy, state of being tired or listless; exhaustion; laziness; weariness
Lately,recently
Latent,Existing but not yet developed, apparent or active
Lateral,Of, at, to or from the side or sides
Lavish,Very rich, elaborate, luxurious, generous
Laudable,Deserving praise
Laurel,Honor or praise, To honor, especially with an award or a prize.
Lax,Not strict severe or careful
Legacy,Handed down by a predecessor
Leisure,Time spent not working, not busy-free, in an unhurried way
Legendary,Described in legends, famous
Legible,Clear enough to read
Legislate,Make laws
League,A class of quality or excellence
Lenient,Not strict, merciful
Leonine,Of or like a lion
Lest,conjunction   For fear that
Lethal,Able to cause death
Lethargy,Lack of energy or enthusiasm
Leverage,The power to influence
Leviathan,A very large or powerful thing, anything of immense size and power, as a huge,
Levity,Humorous treatment of a serious matter, lack of seriousness, lightness of body and spirit
Lexical,Of words
Liability,A person or thing likely to cause embarrassment or trouble, a debt, the state of being liable
Liaison,Communication and cooperation
Libel,The crime of publishing a false statement that harms a person's reputation
Liberalize,Make less strict
Limerick,A humorous five line poem
Linger,Be slow or reluctant to leave, spend a long time
Lingua franca,A common language used among speakers whose native languages are different
Linguist,A person skilled in foreign languages, a person who studies linguistics
Liquidate,Converts assets into cash
Livid,Very angry, appearing dark and inflamed
Loathe,Feel hatred and disgust for
Lucre,Money or profits
Luminary,An inspiring or influential person
Machinations,Plots and scheming
Macrocosm,The whole of a complex
Magnanimous,Generous or forgiving
Magnate,A wealthy and influential
Magnetism,The ability to attract and charm people
Magnitude,Great size or importance, size
Mammoth,Huge
Mandarin,A powerful official
Mandatory,Compulsory
Martinet,A person who enforces strict discipline
Malapropism,The mistaken use of a word in place of a similar sounding word-mostly due to the slip of the tongue
Malefactor,A wrongdoer
Malevolent,Wishing harm to others
Malfunction,Fail to function naturally
Maladroi,Clumsy, lacking skill, cleverness, or resourcefulness in handling situations
Malice,The desire to harm someone
Manifold,Many and various
Manipulate,Handle or control skillfully
Maneuver,A skilful movement, carefully planned scheme
Marginal,Of or in a margin, slight, unimportant
Masquerade,A pretence
Matrix,A grid like array of elements
Maudlin,Sentimental and full of self pity
Maverick,An unconventional and independent minded person
Maxim,A sentence expressing a general truth or rule of behavior
Mayhem,Violent disorder
Meager,Small in quantity
Measly,Informal-meager
Mediocre,Average or fairly low quality
Meek,Quiet, gentle and obedient
Mega,Informal-huge, excellent
Melee,Confused fight, a disorderly crowd
Mellow,Pleasantly smooth or soft in sound, color, or taste
Memento,An object kept as a reminder
Memoir,A written account of events
Menace,A dangerous or troublesome person or thing
Mendacious,Untruthful
Mentor,An experienced person acting as an advisor
Merchandise,Goods for sale
Mercurial,Tending to change mood suddenly
Merger,A merging of two organizations into one
Meritorious,Deserving reward and praise
Mesmerize,Completely capture the attention of
Metaphor,Figure of speech in which a word or phrase is used to represent or stand for something else (eg. food for thought)
Meticulous,Careful and precise
Mettle,Spirit and strength of character
Milieu,A persons social environment
Mundane,Dull or routine
Myriad,A very great number
Myth,An imaginary person or thing
Nab,Catch a wrong doer, take suddenly
Naive,Lacking experience or judgment
